ID,Rationale,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
1.1.1,"The longer a user uses the same password, the greater the chance that an attacker can determine the password through brute force attacks. Also, any accounts that may have been compromised will remain exploitable for as long as the password is left unchanged. If password changes are required but password reuse is not prevented, or if users continually reuse a small number of passwords, the effectiveness of a good password policy is greatly reduced. If you specify a low number for this policy setting, users will be able to use the same small number of passwords repeatedly. If you do not also configure the Minimum password age setting, users might repeatedly change their passwords until they can reuse their original password",Account Policies,Length of password history maintained,accountpolicy,,,,,,,None,24,>=,Low
1.1.2,"The longer a password exists the higher the likelihood that it will be compromised by a brute force attack, by an attacker gaining general knowledge about the user, or by the user sharing the password. Configuring the Maximum password age setting to 0 so that users are never required to change their passwords is a major security risk because that allows a compromised password to be used by the malicious user for as long as the valid user has authorized access.",Account Policies,Maximum password age,accountpolicy,,,,,,,42,60,<=!0,Low
1.1.3,"Users may have favorite passwords that they like to use because they are easy to remember and they believe that their password choice is secure from compromise. Unfortunately, passwords are compromised and if an attacker is targeting a specific individual's user account, with foreknowledge of data about that user, reuse of old passwords can cause a security breach. To address password reuse a combination of security settings is required. Using this policy setting with the Enforce password history setting prevents the easy reuse of old passwords. For example, if you configure the Enforce password history setting to ensure that users cannot reuse any of their last 12 passwords, they could change their password 13 times in a few minutes and reuse the password they started with, unless you also configure the Minimum password age setting to a number that is greater than 0. You must configure this policy setting to a number that is greater than 0 for the Enforce password history setting to be effective",Account Policies,Minimum password age,accountpolicy,,,,,,,0,1,>=,Low
1.1.4,"Types of password attacks include dictionary attacks (which attempt to use common words and phrases) and brute force attacks (which try every possible combination of characters). Also, attackers sometimes try to obtain the account database so they can use tools to discover the accounts and passwords.",Account Policies,Minimum password length,accountpolicy,,,,,,,0,14,>=,Medium
1.1.5,Passwords that contain only alphanumeric characters are extremely easy to discover with several publicly available tools,Account Policies,Password must meet complexity requirements,secedit,System Access\PasswordComplexity,,,,,,0,1,=,Medium
1.1.6,Enabling this policy setting allows the operating system to store passwords in a weaker format that is much more susceptible to compromise and weakens your system security,Account Policies,Store passwords using reversible encryption,secedit,System Access\ClearTextPassword,,,,,,0,0,=,High
1.2.1,"A denial of service (DoS) condition can be created if an attacker abuses the Account lockout threshold and repeatedly attempts to log on with a specific account. Once you configure the Account lockout threshold setting, the account will be locked out after the specified number of failed attempts. If you configure the Account lockout duration setting to 0, then the account will remain locked out until an administrator unlocks it manually.",Account Policies,Account lockout duration,accountpolicy,,,,,,,30,15,>=,Low
1.2.2,Setting an account lockout threshold reduces the likelihood that an online password brute force attack will be successful. Setting the account lockout threshold too low introduces risk of increased accidental lockouts and/or a malicious actor intentionally locking out accounts.,Account Policies,Account lockout threshold,accountpolicy,,,,,,,Never,10,<=!0,Low
1.2.3,"Users can accidentally lock themselves out of their accounts if they mistype their password multiple times. To reduce the chance of such accidental lockouts, the Reset account lockout counter after setting determines the number of minutes that must elapse before the counter that tracks failed logon attempts and triggers lockouts is reset to 0.",Account Policies,Reset account lockout counter,accountpolicy,,,,,,,30,15,>=,Low
2.2.1,If an account is given this right the user of the account may create an application that calls into Credential Manager and is returned the credentials for another user,User Rights Assignment,Access Credential Manager as a trusted caller,accesschk,SeTrustedCredManAccessPrivilege,,,,,,,,=,Medium
2.2.2,"Users who can connect from their computer to the network can access resources on target computers for which they have permission. For example, the Access this computer from the network user right is required for users to connect to shared printers and folders. If this user right is assigned to the Everyone group, then anyone will be able to read the files in those shared folders. However, this situation is unlikely for new installations of Windows Server 2003 with Service Pack 1 (SP1), because the default share and NTFS permissions in Windows Server 2003 do not include the Everyone group. This vulnerability may have a higher level of risk for computers that you upgrade from Windows NT 4.0 or Windows 2000, because the default permissions for these operating systems are not as restrictive as the default permissions in Windows Server 2003",User Rights Assignment,Access this computer from the network (DC),accesschk,SeNetworkLogonRight,,,,,,NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Pre-Windows 2000 Compatible Access;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users;Everyone,NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users,=,Medium
2.2.3,"Users who can connect from their computer to the network can access resources on target computers for which they have permission. For example, the Access this computer from the network user right is required for users to connect to shared printers and folders. If this user right is assigned to the Everyone group, then anyone will be able to read the files in those shared folders. However, this situation is unlikely for new installations of Windows Server 2003 with Service Pack 1 (SP1), because the default share and NTFS permissions in Windows Server 2003 do not include the Everyone group. This vulnerability may have a higher level of risk for computers that you upgrade from Windows NT 4.0 or Windows 2000, because the default permissions for these operating systems are not as restrictive as the default permissions in Windows Server 2003",User Rights Assignment,Access this computer from the network (Member),accesschk,SeNetworkLogonRight,,,,,,BUILTIN\Pre-Windows 2000 Compatible Access;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users;Everyone,BUILTIN\Administrators;NT AUTHORITY\Authenticated Users,=,Medium
2.2.4,The Act as part of the operating system user right is extremely powerful. Anyone with this user right can take complete control of the computer and erase evidence of their activities.,User Rights Assignment,Act as part of the operating system,accesschk,SeTcbPrivilege,,,,,,,,=,Medium
2.2.5,"The Add workstations to domain user right presents a moderate vulnerability. Users with this right could add a computer to the domain that is configured in a way that violates organizational security policies. For example, if your organization does not want its users to have administrative privileges on their computers, a user could (re-)install Windows on his or her computer and then add the computer to the domain. The user would know the password for the local Administrator account, and could log on with that account and then add his or her domain account to the local Administrators group",User Rights Assignment,Add workstations to domain (DC),accesschk,SeMachineAccountPrivilege,,,,,,NT AUTHORITY\Authenticated Users,BUILTIN\Administrators,=,Medium
2.2.6,"A user with the Adjust memory quotas for a process user right can reduce the amount of memory that is available to any process, which could cause business-critical network applications to become slow or to fail. In the wrong hands, this privilege could be used to start a denial of service (DoS) attack",User Rights Assignment,Adjust memory quotas for a process,accesschk,SeIncreaseQuotaPrivilege,,,,,,BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.7,"Any account with the Allow log on locally user right can log on at the console of the computer. If you do not restrict this user right to legitimate users who need to be able to log on to the console of the computer, unauthorized users could download and run malicious software to elevate their privileges",User Rights Assignment,Allow log on locally,accesschk,SeInteractiveLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;COMPUTERNAME\Guest,BUILTIN\Administrators,=,Medium
2.2.8,"Any account with the Allow log on through Remote Desktop Services user right can log on to the remote console of the computer. If you do not restrict this user right to legitimate users who need to log on to the console of the computer, unauthorized users could download and run malicious software to elevate their privileges",User Rights Assignment,Allow log on through Remote Desktop Services (DC),accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.9,"Any account with the Allow log on through Remote Desktop Services user right can log on to the remote console of the computer. If you do not restrict this user right to legitimate users who need to log on to the console of the computer, unauthorized users could download and run malicious software to elevate their privileges",User Rights Assignment,Allow log on through Remote Desktop Services (Member),accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,=,Medium
2.2.10,Users who are able to back up data from a computer could take the backup media to a nondomain computer on which they have administrative privileges and restore the data. They could take ownership of the files and view any unencrypted data that is contained within the backup set,User Rights Assignment,Back up files and directories,accesschk,SeBackupPrivilege,,,,,,BUILTIN\Administrators;BUILTIN\Backup Operators,BUILTIN\Administrators,=,Medium
